epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.558,3.07118,17.7456,0.8753,0.65226,0.61413,0.55896,0.16948,2.64358,5.20706,0.78669,0.00066497,0.00066497,0.00066497
2,217.475,2.99787,3.09611,0.83731,0.68727,0.64312,0.57143,0.16127,2.86883,1.64837,0.79961,0.00130527,0.00130527,0.00130527
3,312.283,2.92363,1.47306,0.8308,0.75491,0.70306,0.65697,0.21614,2.64182,1.27797,0.79559,0.00191917,0.00191917,0.00191917
4,405.878,2.78673,1.24341,0.8254,0.76052,0.68841,0.656,0.2172,2.59883,1.21266,0.79575,0.0018812,0.0018812,0.0018812
5,516.286,2.76025,1.16743,0.8303,0.78224,0.75362,0.6939,0.24067,2.55911,1.23973,0.78315,0.0018416,0.0018416,0.0018416
6,610.11,2.72453,1.10497,0.81245,0.79166,0.74819,0.70485,0.26781,2.41134,1.09217,0.7741,0.001802,0.001802,0.001802
7,702.894,2.61932,1.07376,0.81277,0.84018,0.75234,0.73185,0.29622,2.37724,1.077,0.75085,0.0017624,0.0017624,0.0017624
8,802.218,2.64988,1.04895,0.80777,0.83597,0.7663,0.72463,0.27177,2.35099,1.08116,0.75388,0.0017228,0.0017228,0.0017228
9,903.124,2.54664,1.00142,0.80868,0.84592,0.76812,0.73727,0.26861,2.38781,1.11042,0.76686,0.0016832,0.0016832,0.0016832
10,1012.87,2.53869,1.04256,0.80169,0.84847,0.77094,0.74644,0.28132,2.35288,1.07772,0.76768,0.0016436,0.0016436,0.0016436
11,1120.73,2.49681,0.96396,0.79508,0.86251,0.78415,0.75122,0.30648,2.23859,1.03381,0.75983,0.001604,0.001604,0.001604
12,1217.82,2.46883,0.97781,0.78413,0.83942,0.7663,0.74783,0.30314,2.29345,1.07684,0.75833,0.0015644,0.0015644,0.0015644
13,1314.29,2.50921,0.98975,0.7912,0.84396,0.73489,0.73836,0.28684,2.36766,1.10202,0.75986,0.0015248,0.0015248,0.0015248
14,1405.19,2.4767,0.96759,0.7938,0.83111,0.74886,0.72247,0.30877,2.20555,1.00069,0.75591,0.0014852,0.0014852,0.0014852
15,1493.66,2.46545,0.96861,0.7885,0.85699,0.7925,0.76275,0.30906,2.26204,1.08025,0.76814,0.0014456,0.0014456,0.0014456
16,1594.59,2.44063,0.92365,0.79135,0.82736,0.764,0.71613,0.27643,2.32181,1.08935,0.76218,0.001406,0.001406,0.001406
